database_id,sku,name,description,parent_id,colour_value,size_value,price,stock_status,stock_quantity,image_url,slug,product_type,weight,length,width,height,customiser_template,background_color,personalisation_options,material,product_style,corporate_category,sports_category,quality
20225,MH00001,"Shield 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00001-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,shield-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20226,MH00001G,"Shield 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20225,Gold,,9.62,instock,1621,https://trophymade.com/app/uploads/2023/04/MH00001G-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,shield-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20227,MH00001S,"Shield 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20225,Silver,,9.62,instock,629,https://trophymade.com/app/uploads/2023/04/MH00001S-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,shield-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20228,MH00001AZ,"Shield 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20225,Bronze,,9.62,instock,737,https://trophymade.com/app/uploads/2023/04/MH00001AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,shield-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20229,MH00002,"Clover 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00002-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,clover-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20230,MH00002AG,"Clover 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20229,Gold,,9.38,instock,394,https://trophymade.com/app/uploads/2023/04/MH00002AG.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,clover-1-club-logo-medal,variable,,,,1.5,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20231,MH00002AS,"Clover 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20229,Silver,,9.38,instock,946,https://trophymade.com/app/uploads/2023/04/MH00002AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,clover-1-club-logo-medal,variable,,,,1.5,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20232,MH00002AZ,"Clover 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20229,Bronze,,9.38,instock,568,https://trophymade.com/app/uploads/2023/04/MH00002AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,clover-1-club-logo-medal,variable,,,,1.5,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20233,MH00006,"Hex 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00006-1-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,hex-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20234,MH00006G,"Hex 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20233,Gold,,10.02,instock,662,https://trophymade.com/app/uploads/2023/04/MH00006G-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,hex-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
